Alias,Role,Hero Pool,Team,Years
ShRedLock,Main Tank,Orisa\Wrecking Ball\Winston\Reinhardt,@VancouverTitans,
Shu,Flex Support,Zenyatta\Ana\Moira\Baptiste,@GZCharge,2020\2019
Sideshow,Flex DPS,Pharah,@FLMayhem,
SLIME,Main Support,Lucio\Mercy\Brigitte,@SeoulDynasty,2020\2019
smurf,Main Tank,Winston\Orisa\Wrecking Ball\Reinhardt\Zarya,@SFShock,
SoOn,Hitscan,Tracer\Widowmaker\Reaper\Ashe\Sombra\Symmetra\McCree\Torbjorn,@ParisEternal,
Sp9rk1e,Flex DPS,Doomfist\Genji\Sombra\Mei\Junkrat\Tracer\Pharah,@ParisEternal,
SPACE,Off Tank,D.Va\Zarya\Roadhog\Sigma\Orisa,@LAGladiators,
Stand1,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball,@ShanghaiDragons,2020
Stitch,Hitscan,Ashe\Tracer\Sombra\McCree\Widowmaker,@WashJustice,
STRIKER,Hitscan,Tracer\Reaper\Sombra\McCree\Ashe\Junktrat\Widowmaker,@SFShock,
super,Main Tank,Winston\Reinhardt\Orisa\Roadhog\Genji\Wrecking Ball,@SFShock,
Surefour,Hitscan,Ashe\Sombra\Reaper\McCree\Mei\Torbjorn\Soldier: 76\Tracer\Symmetra\Hanzo,@TorontoDefiant,
ta1yo,Flex DPS,Genji\Tracer,@SFShock,
tobi,Main Support,Lucio\Mercy\Brigitte\Baptiste,@SeoulDynasty,2020\2019\2018
ToYou,Flex Tank,Zarya\D.Va\Sigma,@SeoulDynasty,2020
Tsuna,Hitscan,Sombra\Ashe\Hanzo\Soldier: 76,@VancouverTitans,
TTuba,Flex DPS,Genji\Tracer\Sombra\Reaper\Pharah\Doomfist\Echo\Mei\Hanzo,@WashJustice,
Twilight,Flex Support,Ana\Zenyatta\Brigitte\Baptiste\Moira,@SFShock,
Viol2t,Flex Support,Zenyatta\Ana\Moira\Baptiste,@SFShock,
Void,Off Tank,Zarya\D.Va\Sigma\Wrecking Ball\Roadhog,@ShanghaiDragons,2020
WhoRU,Projectile,Mei\Genji\Echo\Pharah\Tracer,@NYXL,
Wya,Flex Support,Zenyatta\Ana,@GZCharge,
Xzi,Hitscan,Widowmaker\Hanzo\McCree\Ashe\Symmetra\Soldier: 76\Tracer\Sombra\Reaper,@ParisEternal,
Yaki,Projectile,Genji\Tracer\Mei\Sombra\Echo\Reaper\Doomfist\Symmetra,@FLMayhem,
Yveltal,Main Support,Mercy\Lucio\Zenyatta\Brigitte\Baptiste\Ana,@ChengduHunters,2020\2019
zYKK,Flex DPS,Mei\Sombra\Pharah\Echo\Tracer\Junkrat,@TorontoDefiant,
